title,number,year,auther,experiment,NPs_type,Method,Crop,  NPs_size,Size_class,Concentration,Concentration_class,Performance_class,Performance,n1,mean1,sd1,n2,mean2,sd2,lnRR,vi
Nanobiochar and Copper Oxide Nanoparticles Mixture Synergistically Increases Soil Nutrient Availability and Improves Wheat Production,39,2023,Rashid,Field,Cu,Foliar,Wheat,20,ClassA,100,ClassD,grains yield,Yield,3,2.153,0.1965,3,2.476,0.2535,0.139782136,0.0062707
Nanobiochar and Copper Oxide Nanoparticles Mixture Synergistically Increases Soil Nutrient Availability and Improves Wheat Production,39,2023,Rashid,Field,Cu,Foliar,Wheat,20,ClassA,100,ClassD,hundreds grams,Yield,3,4.4,0.692820323,3,4.5,0.346410162,0.022472856,0.010239771
Nanobiochar and Copper Oxide Nanoparticles Mixture Synergistically Increases Soil Nutrient Availability and Improves Wheat Production,39,2023,Rashid,Field,Cu,Foliar,Wheat,20,ClassA,100,ClassD,plant height,Growth,3,57.6,3.117691454,3,60.7,2.944486373,0.05242113,0.001760932
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,10,ClassA,grains yield,Yield,3,1.781,0.052,3,3.161,0.034641016,0.573713429,0.000324189
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,20,ClassB,grains yield,Yield,3,1.781,0.052,3,3.967,0.069282032,0.800835137,0.000385827
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,30,ClassB,grains yield,Yield,3,1.781,0.052,3,4.046,0.121243557,0.820553734,0.000583482
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,40,ClassB,grains yield,Yield,3,1.781,0.052,3,2.717,0.051961524,0.422353326,0.000406073
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,10,ClassA,hundreds grams,Yield,3,104.9,1.732,3,81.67,1.1605,-0.250320778,0.000158175
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,20,ClassB,hundreds grams,Yield,3,104.9,1.732,3,93,2.650037736,-0.120408022,0.000361526
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,30,ClassB,hundreds grams,Yield,3,104.9,1.732,3,130.67,2.892524849,0.219667546,0.000254206
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,40,ClassB,hundreds grams,Yield,3,104.9,1.732,3,85.33,1.524204711,-0.206481423,0.000197227
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,10,ClassA,chl A,Photosynthetic Pigment,3,8.262597587,0.430246829,3,13.33995742,0.206518478,0.479024833,0.000983707
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,20,ClassB,chl A,Photosynthetic Pigment,3,8.262597587,0.430246829,3,14.51242016,0.499086322,0.56326583,0.001298048
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,30,ClassB,chl A,Photosynthetic Pigment,3,8.262597587,0.430246829,3,12.30660043,0.223728351,0.398396723,0.001013983
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,40,ClassB,chl A,Photosynthetic Pigment,3,8.262597587,0.430246829,3,10.64726757,0.361407337,0.253564277,0.001287875
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,10,ClassA,chl B,Photosynthetic Pigment,3,4.552579365,0.36,3,6.55530754,0.225527449,0.364581067,0.002478881
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,20,ClassB,chl B,Photosynthetic Pigment,3,4.552579365,0.36,3,6.90562996,0.510121611,0.416643049,0.003903286
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,30,ClassB,chl B,Photosynthetic Pigment,3,4.552579365,0.36,3,4.60218254,0.220157748,0.01083669,0.002847155
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,40,ClassB,chl B,Photosynthetic Pigment,3,4.552579365,0.36,3,4.233258929,0.391988185,-0.072721837,0.004942425
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,10,ClassA,root length,Growth,3,16.05,1.9919,3,21.2,1.004589468,0.278292332,0.00588258
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,20,ClassB,root length,Growth,3,16.05,1.9919,3,23,1.004589468,0.359785366,0.00577001
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,30,ClassB,root length,Growth,3,16.05,1.9919,3,24.67,2.078460969,0.429879081,0.007500145
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,40,ClassB,root length,Growth,3,16.05,1.9919,3,24,1.004589468,0.402344981,0.005718121
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,10,ClassA,shoot length,Growth,3,40.67,0.572,3,41.67,2.078460969,0.024290726,0.000895243
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,20,ClassB,shoot length,Growth,3,40.67,0.572,3,46,1.732050808,0.123150677,0.000538526
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,30,ClassB,shoot length,Growth,3,40.67,0.572,3,44,1.472243186,0.078698914,0.000439128
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,40,ClassB,shoot length,Growth,3,40.67,0.572,3,43.67,0.571576766,0.071170648,0.000123039
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,10,ClassA,root fresh weight,Biomass,3,1.45,0.087,3,3.47,0.225166605,0.872591038,0.00260355
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,20,ClassB,root fresh weight,Biomass,3,1.45,0.087,3,2.74,0.121243557,0.636394364,0.001852672
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,30,ClassB,root fresh weight,Biomass,3,1.45,0.087,3,2.61,0.225166605,0.587786665,0.00368088
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,40,ClassB,root fresh weight,Biomass,3,1.45,0.087,3,2.2,0.311769145,0.416893804,0.007894215
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,10,ClassA,root dry weight,Biomass,3,0.85,0.035,3,2.97,0.173205081,1.251080882,0.001698838
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,20,ClassB,root dry weight,Biomass,3,0.85,0.035,3,1.84,0.069282032,0.772284501,0.001037757
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,30,ClassB,root dry weight,Biomass,3,0.85,0.035,3,1.43,0.155884573,0.520193374,0.004526241
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,40,ClassB,root dry weight,Biomass,3,0.85,0.035,3,1.27,0.103923048,0.40153583,0.002797172
