title,number,year,auther,experiment,NPs_type,Stress_type ,Stress_class,Method,Crops,  NPs_size,Size_class,Concentration,Concentration_class,Performance_class,Performance,n1,mean1,sd1,n2,mean2,sd2,lnRR,vi
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,5,ClassA,thousands grams,Yield,3,18.12334656,0.974348073,3,18.18239796,0.885770975,0.003253009,0.00175453
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,10,ClassA,thousands grams,Yield,3,18.12334656,0.974348073,3,19.12722033,0.885770975,0.053911496,0.001678307
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,15,ClassA,thousands grams,Yield,3,18.12334656,0.974348073,3,19.83583711,0.841482426,0.090289284,0.001563337
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,25,ClassB,thousands grams,Yield,3,18.12334656,0.974348073,3,21.84358466,0.885770975,0.186706298,0.00151157
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,50,ClassC,thousands grams,Yield,3,18.12334656,0.974348073,3,20.92828798,1.06292517,0.143900763,0.00182329
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,5,ClassA,grain yield/plant,Yield,3,24.14096916,1.233480176,3,24.84581498,1.321585903,0.028778965,0.001813341
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,10,ClassA,grain yield/plant,Yield,3,24.14096916,1.233480176,3,25.72687225,1.233480176,0.063625696,0.001636477
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,15,ClassA,grain yield/plant,Yield,3,24.14096916,1.233480176,3,27.57709251,1.189427313,0.133075084,0.001490323
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,25,ClassB,grain yield/plant,Yield,3,24.14096916,1.233480176,3,28.78120411,1.27753304,0.175812177,0.001526987
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,50,ClassC,grain yield/plant,Yield,3,24.14096916,1.233480176,3,28.83994126,1.233480176,0.177850913,0.001479983
