title,number,year,auther,experiment,NPs_type,Method,Crop,NPs_size,Size_class,Concentration,Concentration_class,Performance_class,Performance,n1,mean1,sd1,n2,mean2,sd2,lnRR,vi,Condition,pct_change,study_id,Stress_type,Stress_class
Nanobiochar and Copper Oxide Nanoparticles Mixture Synergistically Increases Soil Nutrient Availability and Improves Wheat Production,39,2023,Rashid,Field,Cu,Foliar,Wheat,20.0,ClassA,100.0,ClassD,grains yield,Yield,3,2.153,0.1965,3,2.476,0.2535,0.139782136,0.0062707,Non-stress,15.002322290304404,39,,
Nanobiochar and Copper Oxide Nanoparticles Mixture Synergistically Increases Soil Nutrient Availability and Improves Wheat Production,39,2023,Rashid,Field,Cu,Foliar,Wheat,20.0,ClassA,100.0,ClassD,hundreds grams,Yield,3,4.4,0.692820323,3,4.5,0.346410162,0.022472856,0.010239771,Non-stress,2.2727272878576343,39,,
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50.0,ClassB,10.0,ClassA,grains yield,Yield,3,1.781,0.052,3,3.161,0.034641016,0.573713429,0.000324189,Non-stress,77.4845592495257,40,,
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50.0,ClassB,20.0,ClassB,grains yield,Yield,3,1.781,0.052,3,3.967,0.069282032,0.800835137,0.000385827,Non-stress,122.74003363889614,40,,
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50.0,ClassB,30.0,ClassB,grains yield,Yield,3,1.781,0.052,3,4.046,0.121243557,0.820553734,0.000583482,Non-stress,127.17574386455554,40,,
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50.0,ClassB,40.0,ClassB,grains yield,Yield,3,1.781,0.052,3,2.717,0.051961524,0.422353326,0.000406073,Non-stress,52.55474450469533,40,,
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50.0,ClassB,10.0,ClassA,hundreds grams,Yield,3,104.9,1.732,3,81.67,1.1605,-0.250320778,0.000158175,Non-stress,-22.14489990217452,40,,
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50.0,ClassB,20.0,ClassB,hundreds grams,Yield,3,104.9,1.732,3,93.0,2.650037736,-0.120408022,0.000361526,Non-stress,-11.344137251518982,40,,
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50.0,ClassB,30.0,ClassB,hundreds grams,Yield,3,104.9,1.732,3,130.67,2.892524849,0.219667546,0.000254206,Non-stress,24.566253624808752,40,,
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50.0,ClassB,40.0,ClassB,hundreds grams,Yield,3,104.9,1.732,3,85.33,1.524204711,-0.206481423,0.000197227,Non-stress,-18.65586273830203,40,,
"Effect of zinc and iron oxide nanoparticles on plant physiology, seed quality and microbial community structure in a rice-soil-microbial ecosystem",41,2022,Afzal,Field,Zn,Foliar,Rice,36.0,ClassB,25.0,ClassB,hundreds grams,Yield,3,3.67,0.259807621,3,4.2,0.190525589,0.134892863,0.002356456,Non-stress,14.441416868230416,41,,
"Effect of zinc and iron oxide nanoparticles on plant physiology, seed quality and microbial community structure in a rice-soil-microbial ecosystem",41,2022,Afzal,Field,Zn,Foliar,Rice,36.0,ClassB,100.0,ClassD,hundreds grams,Yield,3,3.67,0.259807621,3,3.54,0.155884573,-0.036064935,0.002316881,Non-stress,-3.5422343400649314,41,,
