title,number,year,auther,experiment,NPs_type,Method,Crop,NPs_size,Size_class,Concentration,Concentration_class,Performance_class,Performance,n1,mean1,sd1,n2,mean2,sd2,lnRR,vi,Condition,pct_change,study_id,Stress_type,Stress_class
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Seed,Rice,30.0,class A,5.0,ClassA,thousands grams,Yield,3,18.12334656,0.974348073,3,18.18239796,0.885770975,0.003253009,0.00175453,Stress,0.3258305775706072,1,Drought,Abiotic
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Seed,Rice,30.0,class A,10.0,ClassA,thousands grams,Yield,3,18.12334656,0.974348073,3,19.12722033,0.885770975,0.053911496,0.001678307,Stress,5.539119167951223,1,Drought,Abiotic
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Seed,Rice,30.0,class A,15.0,ClassA,thousands grams,Yield,3,18.12334656,0.974348073,3,19.83583711,0.841482426,0.090289284,0.001563337,Stress,9.449085660622746,1,Drought,Abiotic
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Seed,Rice,30.0,class A,25.0,ClassB,thousands grams,Yield,3,18.12334656,0.974348073,3,21.84358466,0.885770975,0.186706298,0.00151157,Stress,20.527324189918673,1,Drought,Abiotic
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Seed,Rice,30.0,class A,50.0,ClassC,thousands grams,Yield,3,18.12334656,0.974348073,3,20.92828798,1.06292517,0.143900763,0.00182329,Stress,15.476950697708691,1,Drought,Abiotic
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Seed,Rice,30.0,class A,5.0,ClassA,grain yield/plant,Yield,3,24.14096916,1.233480176,3,24.84581498,1.321585903,0.028778965,0.001813341,Stress,2.9197080755064775,1,Drought,Abiotic
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Seed,Rice,30.0,class A,10.0,ClassA,grain yield/plant,Yield,3,24.14096916,1.233480176,3,25.72687225,1.233480176,0.063625696,0.001636477,Stress,6.5693430784592,1,Drought,Abiotic
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Seed,Rice,30.0,class A,15.0,ClassA,grain yield/plant,Yield,3,24.14096916,1.233480176,3,27.57709251,1.189427313,0.133075084,0.001490323,Stress,14.233576624962785,1,Drought,Abiotic
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Seed,Rice,30.0,class A,25.0,ClassB,grain yield/plant,Yield,3,24.14096916,1.233480176,3,28.78120411,1.27753304,0.175812177,0.001526987,Stress,19.221411238896714,1,Drought,Abiotic
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Seed,Rice,30.0,class A,50.0,ClassC,grain yield/plant,Yield,3,24.14096916,1.233480176,3,28.83994126,1.233480176,0.177850913,0.001479983,Stress,19.46472015901255,1,Drought,Abiotic
Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Seed,Wheat,65.0,class C,100.0,ClassD,grain yield/plant,Yield,3,1.234042553,0.029787234,3,1.321276596,0.055319149,0.068302979,0.000778522,Stress,7.0689655822307795,2,Alkaline_soils,Abiotic
Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Seed,Wheat,65.0,class C,200.0,ClassD,grain yield/plant,Yield,3,1.234042553,0.029787234,3,1.272340426,0.040425532,0.030562651,0.000530712,Stress,3.103448336675907,2,Alkaline_soils,Abiotic
Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Seed,Wheat,65.0,class C,100.0,ClassD,grain yield/plant,Yield,3,1.081196581,0.085470085,3,1.104700855,0.055555556,0.021506206,0.002926073,Stress,2.173913123075466,2,Alkaline_soils,Abiotic
Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Seed,Wheat,65.0,class C,200.0,ClassD,grain yield/plant,Yield,3,1.081196581,0.085470085,3,1.11965812,0.038461538,0.034955016,0.002476374,Stress,3.5573123530446393,2,Alkaline_soils,Abiotic
Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Soil,Wheat,65.0,class C,2.5,ClassA,grain yield/plant,Yield,3,1.236318408,0.039800995,3,1.276119403,0.052238806,0.031685819,0.000904043,Stress,3.219315887719465,2,Alkaline_soils,Abiotic
Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Soil,Wheat,65.0,class C,5.0,ClassA,grain yield/plant,Yield,3,1.236318408,0.039800995,3,1.355721393,0.037313433,0.092195769,0.00059797,Stress,9.657947733640771,2,Alkaline_soils,Abiotic
Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Soil,Wheat,65.0,class C,10.0,ClassA,grain yield/plant,Yield,3,1.236318408,0.039800995,3,1.335820896,0.059701493,0.077408069,0.00101128,Stress,8.04828980193748,2,Alkaline_soils,Abiotic
Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Soil,Wheat,65.0,class C,2.5,ClassA,grain yield/plant,Yield,3,1.082089552,0.082089552,3,1.13681592,0.077114428,0.04933736,0.003452155,Stress,5.05747128479932,2,Alkaline_soils,Abiotic
Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Soil,Wheat,65.0,class C,5.0,ClassA,grain yield/plant,Yield,3,1.082089552,0.082089552,3,1.196517413,0.089552239,0.100521239,0.003785563,Stress,10.574712641789862,2,Alkaline_soils,Abiotic
Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Soil,Wheat,65.0,class C,10.0,ClassA,grain yield/plant,Yield,3,1.082089552,0.082089552,3,1.189054726,0.07960199,0.094264701,0.003412256,Stress,9.885057427005762,2,Alkaline_soils,Abiotic
Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Foliar,Wheat,65.0,class C,100.0,ClassD,grain yield/plant,Yield,3,1.239010989,0.038461538,3,1.291208791,0.049450549,0.041265355,0.000810114,Stress,4.212860289430109,2,Alkaline_soils,Abiotic
Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Foliar,Wheat,65.0,class C,100.0,ClassD,grain yield/plant,Yield,3,1.087912088,0.076923077,3,1.142857143,0.074175824,0.049271049,0.003070666,Stress,5.05050504979252,2,Alkaline_soils,Abiotic
